,movielens_Id,genre,imdbId,tmdbId,Plot,Rated,Response,Language,Title,Country,Writer,Metascore,imdbRating,Director,Released,Actors,Year,Genre,Awards,Runtime,Type,Poster,imdbVotes,imdbID,tomatoMeter,tomatoRating,tomatoConsensus,tomatoUserRating,tomatoImage,DVD,Production,tomatoFresh,Website,tomatoRotten,tomatoUserReviews,tomatoUserMeter,BoxOffice,tomatoReviews,tomatoURL,sentiment_polarity
13,3301,Comedy|Crime,190138,2069.0,"Nick is a struggling dentist in Canada. A new neighbor moves in, and he discovers that it is Jimmy ""The Tulip"" Teduski. His wife convinces him to go to Chicago and inform the mob boss who wants Jimmy dead.",R,True,"English, French, Spanish",The Whole Nine Yards,USA,Mitchell Kapner,47.0,6.7,Jonathan Lynn,18 Feb 2000,"Bruce Willis, Matthew Perry, Rosanna Arquette, Michael Clarke Duncan",2000,"Comedy, Crime",5 nominations.,98 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4Nzk4NzU4MF5BMl5BanBnXkFtZTYwNzU0MDc3._V1_SX300.jpg,"91,439",tt0190138,45.0,5.2,"Despite a charming cast, The Whole Nine Yards could only tickle half of the critics' funny bones. The other half thought it an underwelming, depressing sitcom.",3.2,rotten,18 Jul 2000,Warner Home Video,45,http://nineyards.warnerbros.com,55,211435,64.0,"$57,262,492.00",100,http://www.rottentomatoes.com/m/whole_nine_yards/,0.0114583333333
51,3597,Comedy,174336,23531.0,"Three egotistical swingers, who think they're God's gift to women, end up having their friendships tested when all three of them pick up and start dating the same woman.",R,True,"English, Italian",Whipped,USA,Peter M. Cohen,10.0,4.4,Peter M. Cohen,01 Sep 2000,"Amanda Peet, Brian Van Holt, Jonathan Abrahams, Zorie Barber",2000,"Comedy, Romance",1 nomination.,82 min,movie,http://ia.media-imdb.com/images/M/MV5BMjE1MzU3ODQxMV5BMl5BanBnXkFtZTcwNTczNzYxMQ@@._V1_SX300.jpg,"3,674",tt0174336,13.0,3.2,"The sex jokes in Whipped are tiresomely vulgar and unfunny. Critics also condemn the movie as cynical and mean-spirited, with no likable characters.",2.4,rotten,06 Feb 2001,Destination Films,9,http://www.whipped.com,59,4592,32.0,"$3,780,907.00",68,http://www.rottentomatoes.com/m/whipped/,-0.516666666667
53,3615,Adventure|Animation|Children,130623,10567.0,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,PG,True,English,Dinosaur,USA,"Thom Enriquez (story), John Harrison (story), Robert Nelson Jacobs (story), Ralph Zondag (story), John Harrison (screenplay), Robert Nelson Jacobs (screenplay), Walon Green (based on an earlier screenplay by), Gregory Gunter (creative development), Shirley Pierce (screenplay), Jonathan Roberts (additional story material), Rhett Reese (additional story material), Tamara Lusher (additional story)",56.0,6.5,"Eric Leighton, Ralph Zondag",19 May 2000,"D.B. Sweeney, Alfre Woodard, Ossie Davis, Max Casella",2000,"Animation, Adventure, Family",4 wins &amp; 20 nominations.,82 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BZWQ1NTZjMjUtODNmZS00NTVhLWFhM2ItNWZiOTdjMzdhZTY2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"39,115",tt0130623,65.0,6.2,"While Dinosaur's plot is generic and dull, its stunning computer animation and detailed backgrounds are enough to make it worth a look.",3.0,fresh,30 Jan 2001,Buena Vista,79,http://disney.go.com/disneypictures/dinosaur/dinomain.html,43,70839,47.0,"$135,606,304.00",122,http://www.rottentomatoes.com/m/1097046-dinosaur/,0.151388888889
58,3646,Comedy,208003,9600.0,"In order to protect a beautiful woman and her son from a robber, a male FBI agent disguises himself as a large grandmother.",PG-13,True,English,Big Momma's House,"USA, Germany","Darryl Quarles (story), Darryl Quarles (screenplay), Don Rhymer (screenplay)",33.0,5.1,Raja Gosnell,02 Jun 2000,"Martin Lawrence, Nia Long, Paul Giamatti, Jascha Washington",2000,"Action, Comedy, Crime",1 win &amp; 8 nominations.,99 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyMjdlYmUtNjQ1Zi00YTg3LTliNTgtZmNkOTRmYzEzYTMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"67,926",tt0208003,30.0,4.4,"Big Momma's House is funny in some parts, but it is essentially a one-joke movie.",3.2,rotten,28 Nov 2000,20th Century Fox,24,,57,475557,57.0,"$492,734.00",81,http://www.rottentomatoes.com/m/big_mommas_house/,0.0833333333333
59,3717,Action|Crime,187078,9679.0,A retired master car thief must come back to the industry and steal 50 cars with his crew in one night to save his brother's life.,PG-13,True,English,Gone in Sixty Seconds,USA,"H.B. Halicki, Scott Rosenberg (screenplay)",35.0,6.5,Dominic Sena,09 Jun 2000,"Nicolas Cage, Giovanni Ribisi, Angelina Jolie, T.J. Cross",2000,"Action, Crime, Thriller",7 wins &amp; 5 nominations.,118 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwMzExNDEwN15BMl5BanBnXkFtZTYwODMxMzg2._V1_SX300.jpg,"221,676",tt0187078,24.0,4.4,"Even though Oscar-bearers Nicolas Cage, Angelina Jolie, and Robert Duval came aboard for this project, the quality of Gone in 60 Seconds is disappointingly low. The plot line is nonsensical, and even the promised car-chase scenes are boring.",3.5,rotten,05 Dec 2000,Buena Vista Pictures,33,http://studio.go.com/movies/goneinsixty,102,954845,77.0,"$100,978,700.00",135,http://www.rottentomatoes.com/m/1097865-gone_in_60_seconds/,-0.5
63,3744,Action|Crime|Thriller,162650,479.0,New York City police detective John Shaft (nephew of the original 1970s detective) goes on a personal mission to make sure the son of a real estate tycoon is brought to justice after a racially-motivated murder.,R,True,"English, German, Spanish",Shaft,"Germany, USA","Ernest Tidyman (novel), John Singleton (story), Shane Salerno (story), Richard Price (screenplay), John Singleton (screenplay), Shane Salerno (screenplay)",50.0,5.9,John Singleton,16 Jun 2000,"Samuel L. Jackson, Vanessa Williams, Jeffrey Wright, Christian Bale",2000,"Action, Crime, Thriller",1 win &amp; 13 nominations.,99 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzNzcyNjE3MV5BMl5BanBnXkFtZTcwNjY1NzQyMQ@@._V1_SX300.jpg,"59,139",tt0162650,68.0,6.1,"With a charismatic lead, this new Shaft knows how to push the right buttons.",2.9,fresh,12 Dec 2000,Paramount Pictures,76,http://www.shaft-themovie.com,36,64538,40.0,"$70,334,258.00",112,http://www.rottentomatoes.com/m/1098038-shaft/,0.307359307359
66,3751,Animation|Children|Comedy,120630,7443.0,"When a bird ""flies"" into a chicken farm, the fellow chickens see him as an opportunity to escape their evil owners.",G,True,English,Chicken Run,"UK, USA, France","Peter Lord (original story), Nick Park (original story), Karey Kirkpatrick (screenplay), Mark Burton (additional dialogue), John O'Farrell (additional dialogue)",88.0,7.0,"Peter Lord, Nick Park",23 Jun 2000,"Phil Daniels, Lynn Ferguson, Mel Gibson, Tony Haygarth",2000,"Animation, Adventure, Comedy",Nominated for 1 Golden Globe. Another 23 wins &amp; 26 nominations.,84 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BY2UyYjFkNzAtYzIyMC00MGI1LTlkNDktNzUyOGQ5NTI2ZGFjXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,"142,677",tt0120630,97.0,8.1,"Chicken Run has all the charm of Nick Park's Wallace &amp; Gromit, and something for everybody. The voice acting is fabulous, the slapstick is brilliant, and the action sequences are spectacular.",3.0,certified,21 Nov 2000,Dreamworks Pictures,165,http://www.reel.com/reel.asp?node=chickenrun,5,547643,64.0,"$106,604,314.00",170,http://www.rottentomatoes.com/m/chicken_run/,0.233333333333
67,3752,Adventure|Comedy,183505,2123.0,A nice-guy cop with dissociative identity disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.,R,True,"English, German","Me, Myself &amp; Irene",USA,"Peter Farrelly, Mike Cerrone, Bobby Farrelly",49.0,6.5,"Bobby Farrelly, Peter Farrelly",23 Jun 2000,"Jim Carrey, Renée Zellweger, Anthony Anderson, Mongo Brownlee",2000,Comedy,2 wins &amp; 4 nominations.,116 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BODMwMDY2YzUtNGFiNS00NDA1LWI4YzMtYzVmM2RlZTk3NGVlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"188,728",tt0183505,48.0,5.4,"While Jim Carrey's comedic skills earn some laughs, Me, Myself and Irene sports a tired, unsatisfying plot.",3.1,rotten,24 May 2001,20th Century Fox,47,http://www.memyselfandirene.com,51,448590,57.0,"$560,525.00",98,http://www.rottentomatoes.com/m/me_myself_and_irene/,-0.4
68,3753,Action|Drama|War,187393,2024.0,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,R,True,English,The Patriot,"USA, Germany",Robert Rodat,63.0,7.1,Roland Emmerich,28 Jun 2000,"Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs",2000,"Action, Drama, History",Nominated for 3 Oscars. Another 8 wins &amp; 18 nominations.,165 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzMjE4ODU0MV5BMl5BanBnXkFtZTYwNTI2OTk2._V1_SX300.jpg,"210,049",tt0187393,61.0,6.1,"The Patriot can be entertaining to watch, but it relies too much on formula and melodrama.",3.6,fresh,25 Apr 2006,Columbia Pictures,82,http://www.spe.sony.com/movies/thepatriot,52,422451,81.0,"$2,317,507.00",134,http://www.rottentomatoes.com/m/1098149-patriot/,0.133333333333
69,3754,Adventure|Animation|Children|Comedy|Fantasy,131704,17711.0,"When enemies Boris, Natasha and Fearless leader escape into the real world with a nefarious scheme, Rocky &amp; Bullwinkle do the same and team up with a young F.B.I. agent to stop the trio.",PG,True,English,The Adventures of Rocky &amp; Bullwinkle,"USA, Germany","Jay Ward (characters), Kenneth Lonergan",36.0,4.2,Des McAnuff,30 Jun 2000,"Rene Russo, Jason Alexander, Piper Perabo, Randy Quaid",2000,"Animation, Adventure, Comedy",2 wins &amp; 5 nominations.,92 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMzI0Mzk2NzcwNV5BMl5BanBnXkFtZTcwNjYyNTkxMQ@@._V1_SX300.jpg,"16,872",tt0131704,43.0,4.8,"Though the film stays true to the nature of the original cartoon, the script is disappointing and not funny.",2.2,rotten,13 Feb 2001,Universal Pictures,41,http://www.rockyandbullwinkle.com,55,51872,20.0,"$411,840.00",96,http://www.rottentomatoes.com/m/adventures_of_rocky_and_bullwinkle/,0.0
